#Steps per trials = 162
Init value function to min
Min R value = -0.343487 init value = -6.869739999999994
Begin blind policy computation  3 actions
Done action 0 after 1 iterations |V| = 1
Done action 1 after 2 iterations |V| = 1
Done action 2 after 2 iterations |V| = 1
Done blind policy
Starting MDP value iteration
MDPVI:ComputeV:Starting to compute value function, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 0, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 0 iterations, delta = 0.7925739071113749 min 15 = -1.1360609531402588 max 0 = -0.6697999835014343, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 1, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 1 iterations, delta = 0.5456585920638979 min 15 = -1.6421480178833008 max 0 = -1.1564950942993164, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 2, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 2 iterations, delta = 0.5001167995041849 min 15 = -2.1078200340270996 max 0 = -1.655195951461792, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 3, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 3 iterations, delta = 0.46463009009307 min 15 = -2.5332956314086914 max 0 = -2.119826078414917, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 4, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 4 iterations, delta = 0.42443926839585266 min 15 = -2.9208736419677734 max 0 = -2.5442652702331543, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 5, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 5 iterations, delta = 0.38660099083948163 min 15 = -3.273813009262085 max 0 = -2.930866241455078, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 6, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 6 iterations, delta = 0.3520462984964605 min 15 = -3.5952069759368896 max 0 = -3.282912492752075, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 7, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 7 iterations, delta = 0.32058075279080844 min 15 = -3.887876510620117 max 0 = -3.6034932136535645, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 8, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 8 iterations, delta = 0.291928966576243 min 15 = -4.154388904571533 max 0 = -3.8954222202301025, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 9, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 9 iterations, delta = 0.2658380537184115 min 15 = -4.397082328796387 max 0 = -4.16126012802124, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 10, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 10 iterations, delta = 0.24207923996434122 min 15 = -4.618084907531738 max 0 = -4.403339385986328, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 11, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 11 iterations, delta = 0.22044345504453133 min 15 = -4.8193359375 max 0 = -4.623782634735107, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 12, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 12 iterations, delta = 0.2007418521377069 min 15 = -5.002600193023682 max 0 = -4.824524402618408, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 13, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 13 iterations, delta = 0.18280059380960356 min 15 = -5.169485569000244 max 0 = -5.007325172424316, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 14, memory:  total 314 free 106 max 1908
MDPVF:computeValueFunction:After 14 iterations, delta = 0.1664628303638933 min 15 = -5.321455478668213 max 0 = -5.173788070678711, memory:  total 314 free 106 max 1908
MDPVI:ComputeV:Start iteration 15, memory:  total 314 free 106 max 1908
